"F#","Score","nose_score","nose_x","nose_y","leftEye_score","leftEye_x","leftEye_y","rightEye_score","rightEye_x","rightEye_y","leftEar_score","leftEar_x","leftEar_y","rightEar_score","rightEar_x","rightEar_y","leftShoulder_score","leftShoulder_x","leftShoulder_y","rightShoulder_score","rightShoulder_x","rightShoulder_y","leftElbow_score","leftElbow_x","leftElbow_y","rightElbow_score","rightElbow_x","rightElbow_y","leftWrist_score","leftWrist_x","leftWrist_y","rightWrist_score","rightWrist_x","rightWrist_y","leftHip_score","leftHip_x","leftHip_y","rightHip_score","rightHip_x","rightHip_y","leftKnee_score","leftKnee_x","leftKnee_y","rightKnee_score","rightKnee_x","rightKnee_y","leftAnkle_score","leftAnkle_x","leftAnkle_y","rightAnkle_score","rightAnkle_x","rightAnkle_y"
"10","0.8348430929815068","0.983522891998291","129.00445676317403","133.0887921088565","0.9712054133415222","136.49556078941995","129.88602629805035","0.971405029296875","123.00862630208334","124.67950331426302","0.7225008606910706","138.7552498212827","129.0922397849834","0.8925699591636658","111.11197278390523","133.31829779970963","0.9928004741668701","156.29384957107845","169.11865774509127","0.9957088232040405","98.28867793862337","169.52696673638","0.9910430908203125","184.07003165849673","208.77565637099005","0.9802241325378418","73.84417764501634","202.32237149128875","0.9383100271224976","174.43713618259804","219.31402425850388","0.8549502491950989","83.70110006893383","194.98471960557248","0.9928749799728394","158.1918115553513","276.51884635992815","0.9863710999488831","108.53326535692402","279.4876827813883","0.8227154016494751","142.7383642258987","348.13752030904317","0.8246676325798035","106.90925149356619","347.0314660536505","0.15786311030387878","146.28853592218138","353.54033073492815","0.11359940469264984","111.14391052645017","349.1243453574392"
"11","0.8468618647140616","0.9834679961204529","128.09776156556373","130.42201489473868","0.971839189529419","132.68297781352126","129.63447503284016","0.9719569683074951","120.55719113817403","124.22796198752076","0.8039235472679138","141.07744204452615","136.59868898644913","0.8742730617523193","110.59808070363563","132.53432282304342","0.9932823181152344","155.5100305095997","169.46082191129702","0.9959256649017334","98.25484132455065","169.85535748237004","0.9912276864051819","183.97623697916669","210.3632456011477","0.9819685816764832","71.06681474673204","200.97678935633297","0.9341890215873718","173.19618374693627","208.37157662990876","0.8905958533287048","75.30867832158906","203.18353433524615","0.9937620759010315","151.6617040696487","271.7274947715017","0.9872922897338867","103.58210943882762","275.78551705959626","0.8602092862129211","143.10727188010623","345.9439816095133","0.8610736727714539","107.50970179738563","344.29752316095136","0.17510700225830078","145.4687978707108","353.9466628353153","0.12655748426914215","111.43424638735704","348.9121698700222"
"12","0.8461576428483514","0.9816416501998901","128.7439124412786","129.42429264034845","0.9648573398590088","132.14102551828023","124.93384977357579","0.9677882194519043","120.6130961499183","122.7129586818999","0.7649154663085938","140.62275007659315","134.85007226994608","0.8680114150047302","111.16738313163808","127.9046792899613","0.9943370223045349","155.75827205882354","168.2714141575636","0.9958404302597046","97.1481582541871","168.46145494849281","0.9916324019432068","182.70282820159315","207.17314323492812","0.9818562865257263","74.23051821640115","201.499498755531","0.9254994988441467","171.77897135416669","201.0339247441925","0.9098095297813416","74.25510780484069","200.95575653346242","0.9945418834686279","152.33146318423204","270.1526094959901","0.9865152835845947","103.38645386540033","274.39038301991155","0.8734978437423706","144.221271190768","345.19571219925336","0.8664690256118774","106.71262254901961","343.19743198631085","0.18655714392662048","145.5798579197304","354.86876901272126","0.1309094876050949","110.88800966350082","349.73345461144913"
"13","0.8439023722620571","0.9835569858551025","127.88354811325573","133.99279839169662","0.9692652821540833","133.746417675143","126.21300351303236","0.9728918075561523","119.11462322559233","126.77689543867534","0.7368111610412598","138.59855302798204","129.3630657364837","0.8743925094604492","111.55216790492238","133.1552853204508","0.9932195544242859","155.26046453737746","169.28095724730366","0.9955754280090332","97.15394263174021","168.58914265590434","0.9915525913238525","179.81606477226308","206.9032166067478","0.9836007356643677","75.93339907577615","201.46950510750833","0.9378638863563538","171.59715839460785","202.4698605157633","0.8877267241477966","83.11027177798204","178.86103537230366","0.9937599301338196","151.972736034518","272.00404884540933","0.9880023002624512","102.7408136106005","273.97734245367815","0.8580386638641357","142.1042368770425","347.28243397400445","0.8568080067634583","107.68579420700573","345.0987797289823","0.18758855760097504","145.84282769097223","354.1428611552821","0.13568620383739471","111.599751391442","349.67476363730646"
"14","0.8421240887221169","0.9814677834510803","129.5697540083742","132.41156924087392","0.9666972160339355","133.58232485702615","126.08941542363802","0.9692762494087219","122.4844499974469","126.16456158393254","0.7204179167747498","141.52594273386438","136.8924517336145","0.8666438460350037","112.95890459048204","130.1070248764173","0.9928290247917175","155.83409926470588","167.74692231574946","0.9955824017524719","97.76382346558415","168.7117585038717","0.9924076199531555","178.10776654411765","205.26737179376386","0.9837487936019897","72.00394773794935","199.83980161953818","0.9200857877731323","171.83022492851308","200.63971325359515","0.8921501040458679","84.46844362745098","174.90955454058354","0.9935724139213562","153.5483206954657","273.1951094095686","0.9883348941802979","102.72376365910948","273.23121197455754","0.859208881855011","143.00257863562092","345.99453816371687","0.8659984469413757","105.89004416870915","344.20240554134404","0.18028955161571503","145.8701459099265","354.4505755669248","0.14739857614040375","111.45749559589461","349.35068316164273"
"15","0.8482056119862724","0.9813108444213867","129.44397371578842","131.83331244814713","0.9688443541526794","133.34946576286765","125.79472904711699","0.969760000705719","121.70241810917076","125.59656193826052","0.735107421875","143.5376295700572","130.07761457325086","0.8674556016921997","112.71224277471406","129.23824614128182","0.9928798079490662","155.75983583537584","165.99364694240876","0.9953804016113281","96.414794921875","167.997549951604","0.9926844239234924","179.3325705933415","204.1073095271018","0.9853844046592712","73.9196936912786","200.13084209070797","0.9296833276748657","172.18307993770426","199.2655148126383","0.8886310458183289","84.63905484068628","174.33419826811397","0.9943992495536804","153.34606694240196","269.3064353740321","0.9878610372543335","103.76719356362337","271.5738644220133","0.885585367679596","145.22666781556373","345.12007181623346","0.8896200060844421","107.09153518178105","343.331050366427","0.2009090781211853","145.98698235804738","355.04072611310846","0.15399903059005737","111.71717026654413","349.72075065680315"
"16","0.8450939418638453","0.9810901284217834","130.04126455269608","131.98106073700222","0.9690843224525452","132.84478081597223","125.84899632276688","0.9707301259040833","122.88114659926471","125.2512784974765","0.7300904393196106","140.24835324754903","135.84468335176993","0.8672419190406799","112.76181289573121","129.1951920500899","0.9926825165748596","155.08288015727126","165.39639903380808","0.9958337545394897","96.64151858660131","165.55879576016318","0.9935170412063599","176.50556576797388","203.9264888257052","0.9850866794586182","73.63116096047794","200.11692283427823","0.9264117479324341","172.63659109477126","214.51084373271573","0.8729037642478943","84.38167796415442","169.64285791447733","0.9948180317878723","152.8805561938317","270.5586175159016","0.9888795614242554","102.57550008935867","271.1652637582965","0.8712748885154724","144.29508782679738","345.3897391800332","0.8883131146430969","106.71827129289217","343.2095525961007","0.18477436900138855","145.88307100183823","354.81263827433634","0.15386460721492767","111.39429827920752","350.0695260647124"
"17","0.8477343539981281","0.9810489416122437","129.01723026450165","131.4997121085108","0.9666343927383423","131.91462099162584","126.43595467626523","0.9702591300010681","121.53674555759805","124.81705117014658","0.7420045733451843","142.8278505412582","131.1042042960108","0.8661954402923584","112.38791870915033","128.47569288405697","0.9926579594612122","155.3516103707108","165.6327023126383","0.9952918291091919","96.71636444291259","165.61560706754702","0.9935224056243896","175.99772135416669","204.07391303408465","0.9857205152511597","71.56597062653186","200.1269693290238","0.9343253374099731","172.26591222426472","199.15681822110068","0.8982367515563965","83.17279890471814","175.13848498859238","0.9947722554206848","151.7437704248366","271.6259603584762","0.9884173274040222","101.29952225030638","269.59042709485624","0.8726333379745483","142.4599800857843","345.34054376382744","0.8829135894775391","105.9924555759804","343.02965552405976","0.19143514335155487","144.95415581597223","354.91222820450776","0.15541508793830872","110.59433083129086","350.22304298603433"
"18","0.8431902273612863","0.9816362857818604","128.41973996629903","132.70843505859375","0.9710709452629089","130.35390816482843","126.95327623755531","0.9690294861793518","121.20094847834967","125.72463044023092","0.791456401348114","137.58217805351308","127.56681729206998","0.844302237033844","111.5441974315768","129.405568890867","0.9930365681648254","154.11120046977126","167.60481302717093","0.9956329464912415","97.21828884548611","166.10957052855366","0.9928768277168274","177.92783649918303","205.3819018338634","0.9831016063690186","67.07445331648285","199.3500187966676","0.9276789426803589","172.60691125408496","196.0487244192478","0.9044027924537659","78.84119370404412","175.7942780351217","0.9940664768218994","150.0553066278595","274.5189781526549","0.9874466061592102","101.52029398999184","271.96178875138276","0.8430359363555908","147.43422564338235","346.06343767284295","0.8445206880569458","104.32907603145425","345.25884307591264","0.17202256619930267","141.81425206801472","351.70898437500006","0.13891655206680298","109.22391205831292","349.68970374723455"
"19","0.84730884958716","0.9838110208511353","128.29628938163808","133.53877784931555","0.9753968715667725","130.09678659875408","126.04166216554896","0.9716179966926575","120.83213656556373","126.45499440421047","0.7945570349693298","139.82096354166669","136.89702126832137","0.8557990193367004","111.27706290849675","130.16204563917313","0.9937087297439575","154.3554847069036","167.95742878871684","0.9955915808677673","97.4011310253268","166.1831692045769","0.9928962588310242","177.99099392361111","206.39071574253322","0.9822478890419006","68.03276909722223","199.5741852616842","0.910227358341217","172.06641901552288","196.17881032217923","0.9155941009521484","74.33550666360294","181.43178754148232","0.9945500493049622","149.16430504493465","271.4762513827434","0.9877558946609497","101.41436408547794","272.0698695900166","0.8604127764701843","141.08658535028596","346.1136053304757","0.8638525605201721","104.33833103553923","343.6337739387445","0.17588625848293304","144.93909249897877","354.17027836352327","0.15034504234790802","108.88189976511438","350.40728273644913"
"20","0.8515625096419278","0.9823051691055298","128.8186545777165","132.61936153985758","0.9772789478302002","131.84090807546977","125.13150645568308","0.9717094302177429","121.31725834865196","125.53642070398922","0.7806136608123779","143.08788424223857","129.97835682556695","0.8660404682159424","111.9708531198938","132.08923069776688","0.9925886988639832","155.43008642258988","164.7517705596654","0.9958351850509644","96.96417515573938","164.7880837769635","0.9933080673217773","177.70498238357845","205.56834533151275","0.98128342628479","69.74164975234886","197.8220603740321","0.9188491106033325","171.0458952461193","195.67815459935014","0.8905079960823059","80.09578131382762","177.02260785398232","0.9954954385757446","151.59254684946896","269.59838327053376","0.9886283874511719","102.43325227226308","269.00858921287335","0.8865835666656494","144.317076439951","343.7626283358684","0.8957892060279846","105.29529845792484","340.879381568031","0.19946171343326569","145.766681347018","355.53815723520466","0.16028419137001038","110.34048043045344","351.017072559458"
"21","0.8486459991511177","0.983339786529541","128.91191470077615","133.26262077399062","0.9730355143547058","133.0841343698938","126.3698665652655","0.9729275107383728","121.89764284620098","126.19537353515626","0.7648041844367981","138.54725158292484","128.3067416300816","0.8723317980766296","111.65350222120098","132.97946356039134","0.9921649694442749","155.81959443933823","166.08398437500003","0.9958807229995728","96.85150345945671","164.56540808213498","0.9928541779518127","178.50108826082518","206.31744114698563","0.9832859635353088","68.52197584763073","198.65773428857855","0.9057855010032654","173.1753440308415","215.9823635405144","0.8798334002494812","82.99206303615196","175.07541892802823","0.9947867393493652","151.47987515318627","271.43290561912335","0.9886040687561035","102.67817478553923","270.30815192028484","0.8823496103286743","142.8369300194036","344.9678512168142","0.8827476501464844","105.22734598396652","342.14089722759957","0.20203952491283417","145.6986091962827","355.1667286020465","0.16021086275577545","110.5346839256536","350.85568048257744"
